city,region,dev_role,dev_role_parent_group,visitors,city_visitors_share,location_quotient
montreal,canada,full-stack web,other kinds of developers,72471,0.5924269797022783,1.02988639880866
montreal,canada,graphics programmers,other kinds of developers,2713,0.022177897309713968,1.364728277349368
montreal,canada,machine learning specialists,other kinds of developers,5098,0.04167450073163355,1.0704516540155211
montreal,canada,systems administrators,other kinds of developers,11195,0.09151550327395794,0.9039655065979677
ottawa,canada,all developers,-,42473,1,1
ottawa,canada,mobile developers,all developers,2032,0.0478421585477833,0.939438741376439
ottawa,canada,other kinds of developers,all developers,15945,0.37541496951004166,1.0447005767005417
ottawa,canada,web developers,all developers,27101,0.6380759541355685,0.9918929565420527
ottawa,canada,android developers,mobile developers,1231,0.028983118687165965,0.9657450648484026
ottawa,canada,ios developers,mobile developers,812,0.019118027923622067,0.9281899189472295
ottawa,canada,back-end web,other kinds of developers,6312,0.14861205942598826,1.083615535281378
ottawa,canada,data scientists,other kinds of developers,1374,0.032349963506227486,0.8583033947100088
ottawa,canada,database administrators,other kinds of developers,2361,0.0555882560685612,0.940200235884261
ottawa,canada,desktop developers,other kinds of developers,1426,0.033574270713158945,0.9204967266950226
ottawa,canada,embedded developers,other kinds of developers,3248,0.07647211169448827,1.0498176864041453
ottawa,canada,front-end web,other kinds of developers,3667,0.08633720245803216,0.8823960399345185
ottawa,canada,full-stack web,other kinds of developers,24347,0.5732347609069292,0.9965222783727148
ottawa,canada,graphics programmers,other kinds of developers,529,0.012454971393591223,0.7664230480031305
ottawa,canada,machine learning specialists,other kinds of developers,1364,0.03211451981258682,0.8248938858961173
ottawa,canada,systems administrators,other kinds of developers,5357,0.1261271866833047,1.245850398316003
quebec city,canada,all developers,-,14625,1,1
quebec city,canada,mobile developers,all developers,490,0.033504273504273506,0.6578969989439374
quebec city,canada,other kinds of developers,all developers,5450,0.37264957264957266,1.0370050612587671
quebec city,canada,web developers,all developers,9226,0.6308376068376068,0.9806409015863381
quebec city,canada,android developers,mobile developers,270,0.018461538461538463,0.6151560103376548
quebec city,canada,ios developers,mobile developers,219,0.014974358974358974,0.7270126970325967
quebec city,canada,back-end web,other kinds of developers,1932,0.1321025641025641,0.963235361012767
quebec city,canada,data scientists,other kinds of developers,681,0.046564102564102566,1.2354303674778686
quebec city,canada,database administrators,other kinds of developers,1197,0.08184615384615385,1.3843170949177273
quebec city,canada,desktop developers,other kinds of developers,494,0.033777777777777775,0.9260762250091147
quebec city,canada,embedded developers,other kinds of developers,879,0.0601025641025641,0.8250947096267824
quebec city,canada,front-end web,other kinds of developers,1189,0.0812991452991453,0.8309053550455048
quebec city,canada,full-stack web,other kinds of developers,8385,0.5733333333333334,0.9966936385651596
quebec city,canada,graphics programmers,other kinds of developers,236,0.016136752136752138,0.992983312983313
quebec city,canada,machine learning specialists,other kinds of developers,671,0.04588034188034188,1.1784829329780058
quebec city,canada,systems administrators,other kinds of developers,1573,0.10755555555555556,1.0624048252693252
regina,canada,all developers,-,3546,1,1
regina,canada,mobile developers,all developers,140,0.03948110547095319,0.7752593352312532
regina,canada,other kinds of developers,all developers,1634,0.4608009024252679,1.282311595448862
regina,canada,web developers,all developers,1846,0.5205865764241399,0.8092550033874742
regina,canada,android developers,mobile developers,75,0.021150592216582064,0.7047578375625274
regina,canada,ios developers,mobile developers,65,0.01833051325437112,0.8899556837038224
regina,canada,back-end web,other kinds of developers,320,0.09024252679075014,0.6580098839300674
regina,canada,data scientists,other kinds of developers,87,0.024534686971235193,0.6509498878261426
regina,canada,database administrators,other kinds of developers,297,0.08375634517766498,1.4166254000794458
regina,canada,desktop developers,other kinds of developers,105,0.02961082910321489,0.8118321168343997
regina,canada,embedded developers,other kinds of developers,571,0.16102650874224478,2.210589888414242
regina,canada,front-end web,other kinds of developers,319,0.08996051889452905,0.9194275858263216
regina,canada,full-stack web,other kinds of developers,1600,0.4512126339537507,0.7843966777359301
regina,canada,graphics programmers,other kinds of developers,57,0.016074450084602367,0.9891495242738465
regina,canada,machine learning specialists,other kinds of developers,85,0.023970671178793007,0.6157109062070667
regina,canada,systems administrators,other kinds of developers,412,0.1161872532430908,1.1476664114899158
saskatoon,canada,all developers,-,3963,1,1
saskatoon,canada,mobile developers,all developers,112,0.028261418117587686,0.5549471819793135
saskatoon,canada,other kinds of developers,all developers,1543,0.3893515013878375,1.08348300167667
saskatoon,canada,web developers,all developers,2498,0.6303305576583397,0.979852690549273
saskatoon,canada,android developers,mobile developers,52,0.013121372697451426,0.4372166109305394
saskatoon,canada,ios developers,mobile developers,60,0.01514004542013626,0.7350568577217154
saskatoon,canada,back-end web,other kinds of developers,641,0.16174615190512237,1.1793837165930705
saskatoon,canada,data scientists,other kinds of developers,204,0.05147615442846329,1.3657560412413283
saskatoon,canada,database administrators,other kinds of developers,229,0.05778450668685339,0.9773468473345727
saskatoon,canada,desktop developers,other kinds of developers,108,0.02725208175624527,0.7471629768689818
saskatoon,canada,embedded developers,other kinds of developers,284,0.07166288165531164,0.9837960395417685
saskatoon,canada,front-end web,other kinds of developers,282,0.07115821347464042,0.7272615279532528
saskatoon,canada,full-stack web,other kinds of developers,2242,0.565733030532425,0.9834811267288206
saskatoon,canada,graphics programmers,other kinds of developers,82,0.020691395407519558,1.2732556209506132
saskatoon,canada,machine learning specialists,other kinds of developers,204,0.05147615442846329,1.3222170315883472
saskatoon,canada,systems administrators,other kinds of developers,537,0.13550340651021953,1.3384661738140424
toronto,canada,all developers,-,201153,1,1
toronto,canada,mobile developers,all developers,10798,0.05368053173455032,1.0540822717845477
toronto,canada,other kinds of developers,all developers,69889,0.34744199688794103,0.9668577014724261
toronto,canada,web developers,all developers,131578,0.6541190039422728,1.0168319751676353
toronto,canada,android developers,mobile developers,5481,0.027247915765611253,0.9079264540877863
toronto,canada,ios developers,mobile developers,5264,0.02616913493708769,1.2705247284507892
toronto,canada,back-end web,other kinds of developers,29790,0.1480962252613682,1.0798542933164248
toronto,canada,data scientists,other kinds of developers,6636,0.03298981372388182,0.8752797852340023
toronto,canada,database administrators,other kinds of developers,10826,0.053819729260811425,0.9102879947129755
toronto,canada,desktop developers,other kinds of developers,7708,0.03831909044359269,1.0505841697831135
toronto,canada,embedded developers,other kinds of developers,13415,0.06669052909973999,0.91553502856393
toronto,canada,front-end web,other kinds of developers,20459,0.10170864963485506,1.0394975411498766
toronto,canada,full-stack web,other kinds of developers,116322,0.5782762374908652,1.0052864777451291
toronto,canada,graphics programmers,other kinds of developers,2524,0.012547662724393869,0.7721268565493136
toronto,canada,machine learning specialists,other kinds of developers,7448,0.03702654198545386,0.9510641379014455
toronto,canada,systems administrators,other kinds of developers,20291,0.10087346447728843,0.9964009283272167
vancouver,canada,all developers,-,63709,1,1
vancouver,canada,mobile developers,all developers,3642,0.05716617746315277,1.1225271483444532
vancouver,canada,other kinds of developers,all developers,23156,0.3634651305153118,1.0114466984506523
vancouver,canada,web developers,all developers,41346,0.6489820904424807,1.0088466118487613
vancouver,canada,android developers,mobile developers,1862,0.029226639878196174,0.9738594224150219
vancouver,canada,ios developers,mobile developers,1766,0.027719788412940087,1.345809738485129
vancouver,canada,back-end web,other kinds of developers,9082,0.14255442716099767,1.0394458733123602
vancouver,canada,data scientists,other kinds of developers,2782,0.043667299753567,1.1585729179908066
vancouver,canada,database administrators,other kinds of developers,2893,0.04540959676026935,0.7680419679429508
vancouver,canada,desktop developers,other kinds of developers,2634,0.041344237077963863,1.1335237993137628
vancouver,canada,embedded developers,other kinds of developers,5241,0.08226467218132447,1.1293386034273474
vancouver,canada,front-end web,other kinds of developers,7363,0.11557236811125586,1.1811895341037786
vancouver,canada,full-stack web,other kinds of developers,36449,0.5721169693449905,0.9945790881302274
vancouver,canada,graphics programmers,other kinds of developers,1053,0.016528277009527696,1.0170759966900043
vancouver,canada,machine learning specialists,other kinds of developers,2732,0.04288248128207946,1.101479854846776
vancouver,canada,systems administrators,other kinds of developers,6006,0.0942723947950839,0.9311973389255449
victoria,canada,all developers,-,7900,1,1
victoria,canada,mobile developers,all developers,325,0.04113924050632911,0.8078188253953505
victoria,canada,other kinds of developers,all developers,2911,0.36848101265822786,1.0254048391561368
victoria,canada,web developers,all developers,5202,0.6584810126582279,1.023612744280918
victoria,canada,android developers,mobile developers,149,0.018860759493670887,0.628458434611834
victoria,canada,ios developers,mobile developers,175,0.022151898734177215,1.0754858802773264
victoria,canada,back-end web,other kinds of developers,1178,0.14911392405063292,1.0872749173394267
victoria,canada,data scientists,other kinds of developers,392,0.04962025316455696,1.3165156037752783
victoria,canada,database administrators,other kinds of developers,462,0.058481012658227846,0.9891273046630662
victoria,canada,desktop developers,other kinds of developers,252,0.03189873417721519,0.8745589933047437
victoria,canada,embedded developers,other kinds of developers,682,0.08632911392405063,1.1851357134106557
victoria,canada,front-end web,other kinds of developers,792,0.10025316455696202,1.0246219807616317
victoria,canada,full-stack web,other kinds of developers,4702,0.5951898734177216,1.0346894661171726
victoria,canada,graphics programmers,other kinds of developers,150,0.0189873417721519,1.1683958071535845
victoria,canada,machine learning specialists,other kinds of developers,377,0.047721518987341775,1.2257754270672636
victoria,canada,systems administrators,other kinds of developers,743,0.0940506329113924,0.9290068347337558
winnipeg,canada,all developers,-,10439,1,1
winnipeg,canada,mobile developers,all developers,420,0.04023373886387585,0.7900382036775622
winnipeg,canada,other kinds of developers,all developers,3292,0.3153558769997126,0.8775688060534108
winnipeg,canada,web developers,all developers,7058,0.6761184021457994,1.0510301736498269
winnipeg,canada,android developers,mobile developers,267,0.025577162563463932,0.8522553692411468
winnipeg,canada,ios developers,mobile developers,153,0.014656576300411917,0.7115841875884139
winnipeg,canada,back-end web,other kinds of developers,1514,0.14503304914263818,1.0575189240174625
winnipeg,canada,data scientists,other kinds of developers,363,0.03477344573234984,0.9226027878546027
winnipeg,canada,database administrators,other kinds of developers,682,0.06533192834562697,1.105001285983354
winnipeg,canada,desktop developers,other kinds of developers,286,0.0273972602739726,0.7511432971414954
winnipeg,canada,embedded developers,other kinds of developers,567,0.0543155474662324,0.7456498992022009
winnipeg,canada,front-end web,other kinds of developers,1178,0.11284605805153751,1.1533257033119655
winnipeg,canada,full-stack web,other kinds of developers,6182,0.5922023182297155,1.0294958430054029
winnipeg,canada,graphics programmers,other kinds of developers,193,0.01848836095411438,1.1376907667829423
winnipeg,canada,machine learning specialists,other kinds of developers,355,0.034007088801609346,0.8735064323950814
winnipeg,canada,systems administrators,other kinds of developers,932,0.08928058243126737,0.8818895601244914
amsterdam,international,all developers,-,NA,1,1
amsterdam,international,mobile developers,all developers,NA,0.06722527578121996,1.459866681250717
amsterdam,international,other kinds of developers,all developers,NA,0.33783039294820055,0.9407175676706985
amsterdam,international,web developers,all developers,NA,0.6866407861526438,0.997960024914107
amsterdam,international,android developers,mobile developers,NA,0.04139601030095707,1.5183439342764442
amsterdam,international,ios developers,mobile developers,NA,0.025867701887227583,1.383526116754116
amsterdam,international,back-end web,other kinds of developers,NA,0.1670190003971762,1.1181559419889358
amsterdam,international,biz intel developers,other kinds of developers,NA,0.001306837836799016,1.2367677330634244
amsterdam,international,data scientists,other kinds of developers,NA,0.038500467642951404,0.8901187937761939
amsterdam,international,database administrators,other kinds of developers,NA,0.07838464593663118,0.8279156104319443
amsterdam,international,desktop developers,other kinds of developers,NA,0.03893608025521774,1.1853390106334902
amsterdam,international,embedded developers,other kinds of developers,NA,0.03149222943972531,0.8942966317600178
amsterdam,international,front-end web,other kinds of developers,NA,0.10293269785140485,0.8837931659835938
amsterdam,international,full-stack web,other kinds of developers,NA,0.6228363505912801,1.0130452402502677
amsterdam,international,graphics programmers,other kinds of developers,NA,0.010557199779631267,0.8033080004290171
amsterdam,international,highly technical designers,other kinds of developers,NA,0.019141330668409118,0.8988840117712358
amsterdam,international,highly technical product managers,other kinds of developers,NA,0.0023830572318099706,0.9931518547211957
amsterdam,international,machine learning specialists,other kinds of developers,NA,0.04061447002600863,0.9310175543607117
amsterdam,international,qa engineers,other kinds of developers,NA,0.02304903204315127,1.234223590494543
amsterdam,international,systems administrators,other kinds of developers,NA,0.1048673303352936,0.9835660640580506
helsinki,international,all developers,-,NA,1,1
helsinki,international,mobile developers,all developers,NA,0.04681719984611287,1.0537886293659249
helsinki,international,other kinds of developers,all developers,NA,0.35151371667011927,0.9531002140986767
helsinki,international,web developers,all developers,NA,0.6708591044952799,1.0169854236511464
helsinki,international,android developers,mobile developers,NA,0.027285371844574,0.916771805676864
helsinki,international,ios developers,mobile developers,NA,0.019650202716699712,1.3399334507269494
helsinki,international,back-end web,other kinds of developers,NA,0.1555443757213459,1.0718720853315107
helsinki,international,biz intel developers,other kinds of developers,NA,0.0015388712970909413,1.3802105258071977
helsinki,international,data scientists,other kinds of developers,NA,0.04826729010683318,1.2372416830650945
helsinki,international,database administrators,other kinds of developers,NA,0.053505371252700426,0.9347859494389499
helsinki,international,desktop developers,other kinds of developers,NA,0.034003136929951765,1.1766691825177322
helsinki,international,embedded developers,other kinds of developers,NA,0.040720902015329526,0.6460657768121668
helsinki,international,front-end web,other kinds of developers,NA,0.11008848509958273,1.0579857299707986
helsinki,international,full-stack web,other kinds of developers,NA,0.6053978870113343,1.0283913317115019
helsinki,international,graphics programmers,other kinds of developers,NA,0.018140925098398982,0.8694191670931717
helsinki,international,highly technical designers,other kinds of developers,NA,0.018407268207510874,0.8698522829932128
helsinki,international,highly technical product managers,other kinds of developers,NA,0.002101151194104939,1.168878388335745
helsinki,international,machine learning specialists,other kinds of developers,NA,0.047793791246189814,1.216941794720481
helsinki,international,qa engineers,other kinds of developers,NA,0.024769909147406115,1.0858732840002034
helsinki,international,systems administrators,other kinds of developers,NA,0.12455979402799562,0.9607149575188402
munich,international,all developers,-,NA,1,1
munich,international,mobile developers,all developers,NA,0.0530299890873427,1.0215611378044065
munich,international,other kinds of developers,all developers,NA,0.4075255894906966,1.041091389620353
munich,international,web developers,all developers,NA,0.6117304159241915,0.9544883399105992
munich,international,android developers,mobile developers,NA,0.029961460362189715,0.8773531407857333
munich,international,ios developers,mobile developers,NA,0.023455306452281298,1.3048190234287027
munich,international,back-end web,other kinds of developers,NA,0.13126959788929868,1.0135667221270126
munich,international,biz intel developers,other kinds of developers,NA,7.73555454256627e-4,1.3263073026690166
munich,international,data scientists,other kinds of developers,NA,0.04750459298550965,1.1411526351907066
munich,international,database administrators,other kinds of developers,NA,0.05800284557899244,0.8325315001675851
munich,international,desktop developers,other kinds of developers,NA,0.04340198637989861,1.0774015519691935
munich,international,embedded developers,other kinds of developers,NA,0.08386169933557112,1.135559790319461
munich,international,front-end web,other kinds of developers,NA,0.06832152279916566,0.8538785559012874
munich,international,full-stack web,other kinds of developers,NA,0.5612973630047104,0.9640351719618907
munich,international,graphics programmers,other kinds of developers,NA,0.01284654593676184,0.8178818611749996
munich,international,highly technical designers,other kinds of developers,NA,0.024090727003992098,0.8974182237082943
munich,international,highly technical product managers,other kinds of developers,NA,0.0018233807136049066,1.2182628812441088
munich,international,machine learning specialists,other kinds of developers,NA,0.04783611675161963,1.1502652685299697
munich,international,qa engineers,other kinds of developers,NA,0.01895210862928736,1.147415584139298
munich,international,systems administrators,other kinds of developers,NA,0.12599284461204813,1.0836870146287967
nyc_metro_area,international,all developers,-,NA,1,1
nyc_metro_area,international,mobile developers,all developers,NA,0.051030860072521715,1.0305454755053687
nyc_metro_area,international,other kinds of developers,all developers,NA,0.3325482291335736,0.9186574845577252
nyc_metro_area,international,web developers,all developers,NA,0.6590657625187604,1.0249589342145158
nyc_metro_area,international,android developers,mobile developers,NA,0.02324091013660813,0.9187971414255016
nyc_metro_area,international,ios developers,mobile developers,NA,0.027644796950144056,1.132851754498015
nyc_metro_area,international,back-end web,other kinds of developers,NA,0.1586083936768073,1.0309612071620171
nyc_metro_area,international,biz intel developers,other kinds of developers,NA,0.001739097093653802,1.0361720781109247
nyc_metro_area,international,data scientists,other kinds of developers,NA,0.04006222407239026,1.0198206659287667
nyc_metro_area,international,database administrators,other kinds of developers,NA,0.05300274969052288,0.9701594664911056
nyc_metro_area,international,desktop developers,other kinds of developers,NA,0.039862296375009584,1.0377136062016459
nyc_metro_area,international,embedded developers,other kinds of developers,NA,0.04289133792710581,0.6670318469529942
nyc_metro_area,international,front-end web,other kinds of developers,NA,0.09575167336743973,1.0840281359654458
nyc_metro_area,international,full-stack web,other kinds of developers,NA,0.5932977662872605,1.0321727719075051
nyc_metro_area,international,graphics programmers,other kinds of developers,NA,0.007827306289232387,0.6798504969626106
nyc_metro_area,international,highly technical designers,other kinds of developers,NA,0.018467294019696986,0.8487489368260173
nyc_metro_area,international,highly technical product managers,other kinds of developers,NA,0.002193727200026292,0.9358849807433252
nyc_metro_area,international,machine learning specialists,other kinds of developers,NA,0.043869066529364724,1.0373239236000538
nyc_metro_area,international,qa engineers,other kinds of developers,NA,0.02702584270893814,1.0687894194411554
nyc_metro_area,international,systems administrators,other kinds of developers,NA,0.1020124229045934,0.8736638526428544
paris,international,all developers,-,NA,1,1
paris,international,mobile developers,all developers,NA,0.04929411689856787,0.9547848235142214
paris,international,other kinds of developers,all developers,NA,0.37154454475470644,0.9670759121109531
paris,international,web developers,all developers,NA,0.6773169443755209,0.9954841485888148
paris,international,android developers,mobile developers,NA,0.027688177173795483,0.8251492551412781
paris,international,ios developers,mobile developers,NA,0.021726821012985197,1.1948478979204624
paris,international,back-end web,other kinds of developers,NA,0.14493030239408572,1.0559532163418488
paris,international,biz intel developers,other kinds of developers,NA,9.924989979577423e-4,1.2489065097033305
paris,international,data scientists,other kinds of developers,NA,0.02976224559260461,0.9784566200014874
paris,international,database administrators,other kinds of developers,NA,0.08696454360951526,0.9539936379181368
paris,international,desktop developers,other kinds of developers,NA,0.03654432207864918,1.0949571477775708
paris,international,embedded developers,other kinds of developers,NA,0.05213164608503681,0.8385823214702887
paris,international,front-end web,other kinds of developers,NA,0.0837389218661526,0.9357867643416483
paris,international,full-stack web,other kinds of developers,NA,0.6198283485707379,0.9990715017892736
