city,region,dev_role,dev_role_parent_group,visitors,city_visitors_share,location_quotient
regina,canada,embedded developers,other kinds of developers,571,0.161026509,2.210589888
regina,canada,front-end web,other kinds of developers,319,0.089960519,0.919427586
regina,canada,full-stack web,other kinds of developers,1600,0.451212634,0.784396678
regina,canada,graphics programmers,other kinds of developers,57,0.01607445,0.989149524
regina,canada,machine learning specialists,other kinds of developers,85,0.023970671,0.615710906
regina,canada,systems administrators,other kinds of developers,412,0.116187253,1.147666411
saskatoon,canada,all developers,-,3963,1,1
saskatoon,canada,mobile developers,all developers,112,0.028261418,0.554947182
saskatoon,canada,other kinds of developers,all developers,1543,0.389351501,1.083483002
saskatoon,canada,web developers,all developers,2498,0.630330558,0.979852691
saskatoon,canada,android developers,mobile developers,52,0.013121373,0.437216611
saskatoon,canada,ios developers,mobile developers,60,0.015140045,0.735056858
saskatoon,canada,back-end web,other kinds of developers,641,0.161746152,1.179383717
saskatoon,canada,data scientists,other kinds of developers,204,0.051476154,1.365756041
saskatoon,canada,database administrators,other kinds of developers,229,0.057784507,0.977346847
saskatoon,canada,desktop developers,other kinds of developers,108,0.027252082,0.747162977
saskatoon,canada,embedded developers,other kinds of developers,284,0.071662882,0.98379604
saskatoon,canada,front-end web,other kinds of developers,282,0.071158213,0.727261528
saskatoon,canada,full-stack web,other kinds of developers,2242,0.565733031,0.983481127
saskatoon,canada,graphics programmers,other kinds of developers,82,0.020691395,1.273255621
saskatoon,canada,machine learning specialists,other kinds of developers,204,0.051476154,1.322217032
saskatoon,canada,systems administrators,other kinds of developers,537,0.135503407,1.338466174
toronto,canada,all developers,-,201153,1,1
toronto,canada,mobile developers,all developers,10798,0.053680532,1.054082272
toronto,canada,other kinds of developers,all developers,69889,0.347441997,0.966857701
toronto,canada,web developers,all developers,131578,0.654119004,1.016831975
toronto,canada,android developers,mobile developers,5481,0.027247916,0.907926454
toronto,canada,ios developers,mobile developers,5264,0.026169135,1.270524728
toronto,canada,back-end web,other kinds of developers,29790,0.148096225,1.079854293
toronto,canada,data scientists,other kinds of developers,6636,0.032989814,0.875279785
toronto,canada,database administrators,other kinds of developers,10826,0.053819729,0.910287995
toronto,canada,desktop developers,other kinds of developers,7708,0.03831909,1.05058417
toronto,canada,embedded developers,other kinds of developers,13415,0.066690529,0.915535029
toronto,canada,front-end web,other kinds of developers,20459,0.10170865,1.039497541
toronto,canada,full-stack web,other kinds of developers,116322,0.578276237,1.005286478
toronto,canada,graphics programmers,other kinds of developers,2524,0.012547663,0.772126857
toronto,canada,machine learning specialists,other kinds of developers,7448,0.037026542,0.951064138
toronto,canada,systems administrators,other kinds of developers,20291,0.100873464,0.996400928
vancouver,canada,all developers,-,63709,1,1
vancouver,canada,mobile developers,all developers,3642,0.057166177,1.122527148
vancouver,canada,other kinds of developers,all developers,23156,0.363465131,1.011446698
vancouver,canada,web developers,all developers,41346,0.64898209,1.008846612
vancouver,canada,android developers,mobile developers,1862,0.02922664,0.973859422
vancouver,canada,ios developers,mobile developers,1766,0.027719788,1.345809738
vancouver,canada,back-end web,other kinds of developers,9082,0.142554427,1.039445873
vancouver,canada,data scientists,other kinds of developers,2782,0.0436673,1.158572918
vancouver,canada,database administrators,other kinds of developers,2893,0.045409597,0.768041968
vancouver,canada,desktop developers,other kinds of developers,2634,0.041344237,1.133523799
vancouver,canada,embedded developers,other kinds of developers,5241,0.082264672,1.129338603
vancouver,canada,front-end web,other kinds of developers,7363,0.115572368,1.181189534
vancouver,canada,full-stack web,other kinds of developers,36449,0.572116969,0.994579088
vancouver,canada,graphics programmers,other kinds of developers,1053,0.016528277,1.017075997
vancouver,canada,machine learning specialists,other kinds of developers,2732,0.042882481,1.101479855
vancouver,canada,systems administrators,other kinds of developers,6006,0.094272395,0.931197339
victoria,canada,all developers,-,7900,1,1
victoria,canada,mobile developers,all developers,325,0.041139241,0.807818825
victoria,canada,other kinds of developers,all developers,2911,0.368481013,1.025404839
victoria,canada,web developers,all developers,5202,0.658481013,1.023612744
victoria,canada,android developers,mobile developers,149,0.018860759,0.628458435
victoria,canada,ios developers,mobile developers,175,0.022151899,1.07548588
victoria,canada,back-end web,other kinds of developers,1178,0.149113924,1.087274917
victoria,canada,data scientists,other kinds of developers,392,0.049620253,1.316515604
victoria,canada,database administrators,other kinds of developers,462,0.058481013,0.989127305
victoria,canada,desktop developers,other kinds of developers,252,0.031898734,0.874558993
victoria,canada,embedded developers,other kinds of developers,682,0.086329114,1.185135713
victoria,canada,front-end web,other kinds of developers,792,0.100253165,1.024621981
victoria,canada,full-stack web,other kinds of developers,4702,0.595189873,1.034689466
victoria,canada,graphics programmers,other kinds of developers,150,0.018987342,1.168395807
victoria,canada,machine learning specialists,other kinds of developers,377,0.047721519,1.225775427
victoria,canada,systems administrators,other kinds of developers,743,0.094050633,0.929006835
winnipeg,canada,all developers,-,10439,1,1
winnipeg,canada,mobile developers,all developers,420,0.040233739,0.790038204
winnipeg,canada,other kinds of developers,all developers,3292,0.315355877,0.877568806
winnipeg,canada,web developers,all developers,7058,0.676118402,1.051030174
winnipeg,canada,android developers,mobile developers,267,0.025577163,0.852255369
winnipeg,canada,ios developers,mobile developers,153,0.014656576,0.711584188
winnipeg,canada,back-end web,other kinds of developers,1514,0.145033049,1.057518924
winnipeg,canada,data scientists,other kinds of developers,363,0.034773446,0.922602788
winnipeg,canada,database administrators,other kinds of developers,682,0.065331928,1.105001286
winnipeg,canada,desktop developers,other kinds of developers,286,0.02739726,0.751143297
winnipeg,canada,embedded developers,other kinds of developers,567,0.054315547,0.745649899
winnipeg,canada,front-end web,other kinds of developers,1178,0.112846058,1.153325703
winnipeg,canada,full-stack web,other kinds of developers,6182,0.592202318,1.029495843
winnipeg,canada,graphics programmers,other kinds of developers,193,0.018488361,1.137690767
winnipeg,canada,machine learning specialists,other kinds of developers,355,0.034007089,0.873506432
winnipeg,canada,systems administrators,other kinds of developers,932,0.089280582,0.88188956
amsterdam,international,all developers,-,,1,1
amsterdam,international,mobile developers,all developers,,0.067225276,1.459866681
amsterdam,international,other kinds of developers,all developers,,0.337830393,0.940717568
amsterdam,international,web developers,all developers,,0.686640786,0.997960025
amsterdam,international,android developers,mobile developers,,0.04139601,1.518343934
amsterdam,international,ios developers,mobile developers,,0.025867702,1.383526117
amsterdam,international,back-end web,other kinds of developers,,0.167019,1.118155942
amsterdam,international,biz intel developers,other kinds of developers,,0.001306838,1.236767733
amsterdam,international,data scientists,other kinds of developers,,0.038500468,0.890118794
amsterdam,international,database administrators,other kinds of developers,,0.078384646,0.82791561
amsterdam,international,desktop developers,other kinds of developers,,0.03893608,1.185339011
amsterdam,international,embedded developers,other kinds of developers,,0.031492229,0.894296632
amsterdam,international,front-end web,other kinds of developers,,0.102932698,0.883793166
amsterdam,international,full-stack web,other kinds of developers,,0.622836351,1.01304524
amsterdam,international,graphics programmers,other kinds of developers,,0.0105572,0.803308
amsterdam,international,highly technical designers,other kinds of developers,,0.019141331,0.898884012
amsterdam,international,highly technical product managers,other kinds of developers,,0.002383057,0.993151855
amsterdam,international,machine learning specialists,other kinds of developers,,0.04061447,0.931017554
amsterdam,international,qa engineers,other kinds of developers,,0.023049032,1.23422359
amsterdam,international,systems administrators,other kinds of developers,,0.10486733,0.983566064
helsinki,international,all developers,-,,1,1
helsinki,international,mobile developers,all developers,,0.0468172,1.053788629
helsinki,international,other kinds of developers,all developers,,0.351513717,0.953100214
helsinki,international,web developers,all developers,,0.670859104,1.016985424
helsinki,international,android developers,mobile developers,,0.027285372,0.916771806
helsinki,international,ios developers,mobile developers,,0.019650203,1.339933451
helsinki,international,back-end web,other kinds of developers,,0.155544376,1.071872085
helsinki,international,biz intel developers,other kinds of developers,,0.001538871,1.380210526
helsinki,international,data scientists,other kinds of developers,,0.04826729,1.237241683
helsinki,international,database administrators,other kinds of developers,,0.053505371,0.934785949
helsinki,international,desktop developers,other kinds of developers,,0.034003137,1.176669183
helsinki,international,embedded developers,other kinds of developers,,0.040720902,0.646065777
helsinki,international,front-end web,other kinds of developers,,0.110088485,1.05798573
helsinki,international,full-stack web,other kinds of developers,,0.605397887,1.028391332
helsinki,international,graphics programmers,other kinds of developers,,0.018140925,0.869419167
helsinki,international,highly technical designers,other kinds of developers,,0.018407268,0.869852283
helsinki,international,highly technical product managers,other kinds of developers,,0.002101151,1.168878388
helsinki,international,machine learning specialists,other kinds of developers,,0.047793791,1.216941795
helsinki,international,qa engineers,other kinds of developers,,0.024769909,1.085873284
helsinki,international,systems administrators,other kinds of developers,,0.124559794,0.960714958
munich,international,all developers,-,,1,1
munich,international,mobile developers,all developers,,0.053029989,1.021561138
munich,international,other kinds of developers,all developers,,0.407525589,1.04109139
munich,international,web developers,all developers,,0.611730416,0.95448834
munich,international,android developers,mobile developers,,0.02996146,0.877353141
munich,international,ios developers,mobile developers,,0.023455306,1.304819023
munich,international,back-end web,other kinds of developers,,0.131269598,1.013566722
munich,international,biz intel developers,other kinds of developers,,7.74E-04,1.326307303
munich,international,data scientists,other kinds of developers,,0.047504593,1.141152635
munich,international,database administrators,other kinds of developers,,0.058002846,0.8325315
munich,international,desktop developers,other kinds of developers,,0.043401986,1.077401552
munich,international,embedded developers,other kinds of developers,,0.083861699,1.13555979
munich,international,front-end web,other kinds of developers,,0.068321523,0.853878556
munich,international,full-stack web,other kinds of developers,,0.561297363,0.964035172
munich,international,graphics programmers,other kinds of developers,,0.012846546,0.817881861
munich,international,highly technical designers,other kinds of developers,,0.024090727,0.897418224
munich,international,highly technical product managers,other kinds of developers,,0.001823381,1.218262881
munich,international,machine learning specialists,other kinds of developers,,0.047836117,1.150265269
munich,international,qa engineers,other kinds of developers,,0.018952109,1.147415584
munich,international,systems administrators,other kinds of developers,,0.125992845,1.083687015
nyc_metro_area,international,all developers,-,,1,1
nyc_metro_area,international,mobile developers,all developers,,0.05103086,1.030545476
nyc_metro_area,international,other kinds of developers,all developers,,0.332548229,0.918657485
nyc_metro_area,international,web developers,all developers,,0.659065763,1.024958934
nyc_metro_area,international,android developers,mobile developers,,0.02324091,0.918797141
nyc_metro_area,international,ios developers,mobile developers,,0.027644797,1.132851754
nyc_metro_area,international,back-end web,other kinds of developers,,0.158608394,1.030961207
nyc_metro_area,international,biz intel developers,other kinds of developers,,0.001739097,1.036172078
nyc_metro_area,international,data scientists,other kinds of developers,,0.040062224,1.019820666
nyc_metro_area,international,database administrators,other kinds of developers,,0.05300275,0.970159466
nyc_metro_area,international,desktop developers,other kinds of developers,,0.039862296,1.037713606
nyc_metro_area,international,embedded developers,other kinds of developers,,0.042891338,0.667031847
nyc_metro_area,international,front-end web,other kinds of developers,,0.095751673,1.084028136
nyc_metro_area,international,full-stack web,other kinds of developers,,0.593297766,1.032172772
nyc_metro_area,international,graphics programmers,other kinds of developers,,0.007827306,0.679850497
nyc_metro_area,international,highly technical designers,other kinds of developers,,0.018467294,0.848748937
nyc_metro_area,international,highly technical product managers,other kinds of developers,,0.002193727,0.935884981
nyc_metro_area,international,machine learning specialists,other kinds of developers,,0.043869067,1.037323924
nyc_metro_area,international,qa engineers,other kinds of developers,,0.027025843,1.068789419
nyc_metro_area,international,systems administrators,other kinds of developers,,0.102012423,0.873663853
paris,international,all developers,-,,1,1
paris,international,mobile developers,all developers,,0.049294117,0.954784824
paris,international,other kinds of developers,all developers,,0.371544545,0.967075912
paris,international,web developers,all developers,,0.677316944,0.995484149
paris,international,android developers,mobile developers,,0.027688177,0.825149255
paris,international,ios developers,mobile developers,,0.021726821,1.194847898
paris,international,back-end web,other kinds of developers,,0.144930302,1.055953216
paris,international,biz intel developers,other kinds of developers,,9.92E-04,1.24890651
paris,international,data scientists,other kinds of developers,,0.029762246,0.97845662
paris,international,database administrators,other kinds of developers,,0.086964544,0.953993638
paris,international,desktop developers,other kinds of developers,,0.036544322,1.094957148
paris,international,embedded developers,other kinds of developers,,0.052131646,0.838582321
paris,international,front-end web,other kinds of developers,,0.083738922,0.935786764
paris,international,full-stack web,other kinds of developers,,0.619828349,0.999071502
paris,international,graphics programmers,other kinds of developers,,0.010841143,0.717022206
paris,international,highly technical designers,other kinds of developers,,0.018335783,0.798735359
paris,international,highly technical product managers,other kinds of developers,,0.001673252,1.221143458
paris,international,machine learning specialists,other kinds of developers,,0.032249855,1.010110651
paris,international,qa engineers,other kinds of developers,,0.018940189,1.171733414
paris,international,systems administrators,other kinds of developers,,0.127186202,1.012789078
sf_silicon_valley,international,all developers,-,,1,1
sf_silicon_valley,international,mobile developers,all developers,,0.087529082,1.767610809
sf_silicon_valley,international,other kinds of developers,all developers,,0.365409424,1.009435843
sf_silicon_valley,international,web developers,all developers,,0.650963739,1.012358915
sf_silicon_valley,international,android developers,mobile developers,,0.043306789,1.712073815
sf_silicon_valley,international,ios developers,mobile developers,,0.04400855,1.803419388
sf_silicon_valley,international,back-end web,other kinds of developers,,0.20303592,1.319741993
sf_silicon_valley,international,biz intel developers,other kinds of developers,,0.00100819,0.600690271
sf_silicon_valley,international,data scientists,other kinds of developers,,0.021650557,0.551134792
sf_silicon_valley,international,database administrators,other kinds of developers,,0.042888759,0.78503352
sf_silicon_valley,international,desktop developers,other kinds of developers,,0.066281423,1.725468449
sf_silicon_valley,international,embedded developers,other kinds of developers,,0.055681238,0.865936124
sf_silicon_valley,international,front-end web,other kinds of developers,,0.069517847,0.787028561
sf_silicon_valley,international,full-stack web,other kinds of developers,,0.587264267,1.021676164
sf_silicon_valley,international,graphics programmers,other kinds of developers,,0.014716175,1.278191783
sf_silicon_valley,international,highly technical designers,other kinds of developers,,0.018922958,0.869691041
sf_silicon_valley,international,highly technical product managers,other kinds of developers,,0.001715626,0.731918085
sf_silicon_valley,international,machine learning specialists,other kinds of developers,,0.027253296,0.644428938
sf_silicon_valley,international,qa engineers,other kinds of developers,,0.034775947,1.375282348
sf_silicon_valley,international,systems administrators,other kinds of developers,,0.114044678,0.976711562
singapore,international,all developers,-,,1,1
singapore,international,mobile developers,all developers,,0.074265476,1
singapore,international,other kinds of developers,all developers,,0.352344138,1
singapore,international,web developers,all developers,,0.632662202,1
singapore,international,android developers,mobile developers,,0.046434871,1
singapore,international,ios developers,mobile developers,,0.028340499,1
singapore,international,back-end web,other kinds of developers,,0.1530511,1
singapore,international,biz intel developers,other kinds of developers,,0.001577917,1
singapore,international,data scientists,other kinds of developers,,0.029408522,1
singapore,international,database administrators,other kinds of developers,,0.072239678,1
singapore,international,desktop developers,other kinds of developers,,0.044670911,1
singapore,international,embedded developers,other kinds of developers,,0.058975525,1
singapore,international,front-end web,other kinds of developers,,0.075870955,1
singapore,international,full-stack web,other kinds of developers,,0.571309465,1
singapore,international,graphics programmers,other kinds of developers,,0.011493302,1
singapore,international,highly technical designers,other kinds of developers,,0.020382008,1
singapore,international,highly technical product managers,other kinds of developers,,0.001963784,1
singapore,international,machine learning specialists,other kinds of developers,,0.032557467,1
singapore,international,qa engineers,other kinds of developers,,0.020478474,1
singapore,international,systems administrators,other kinds of developers,,0.0975277,1
stockholm,international,all developers,-,,1,1
stockholm,international,mobile developers,all developers,,0.05032904,1.013784674
stockholm,international,other kinds of developers,all developers,,0.32014223,0.900385062
stockholm,international,web developers,all developers,,0.680282338,1.019053447
stockholm,international,android developers,mobile developers,,0.02336895,0.836751998
stockholm,international,ios developers,mobile developers,,0.027136994,1.254136824
stockholm,international,back-end web,other kinds of developers,,0.152172375,1.067567585
stockholm,international,biz intel developers,other kinds of developers,,0.001309086,1.217126165
stockholm,international,data scientists,other kinds of developers,,0.033470139,0.925509452
stockholm,international,database administrators,other kinds of developers,,0.044650439,0.864164309
stockholm,international,desktop developers,other kinds of developers,,0.044986555,1.162206519
stockholm,international,embedded developers,other kinds of developers,,0.046083357,0.693517435
stockholm,international,front-end web,other kinds of developers,,0.102993207,1.012772654
stockholm,international,full-stack web,other kinds of developers,,0.614385791,1.027687675
stockholm,international,graphics programmers,other kinds of developers,,0.01268398,0.679555808
stockholm,international,highly technical designers,other kinds of developers,,0.020220068,0.843331745
stockholm,international,highly technical product managers,other kinds of developers,,0.002175913,0.997520411
stockholm,international,machine learning specialists,other kinds of developers,,0.033859326,0.945433284
stockholm,international,qa engineers,other kinds of developers,,0.0243773,1.249023405
stockholm,international,systems administrators,other kinds of developers,,0.107981885,0.925360918
